Away Team,Visitor Pts,Home Team,Home Pts,Home Win,Away Pts For,Away Pts Allowed,Away Cover,Away Pace,Away TS,Away eFG,Away 3PAR,Away ft Rate,away orb,away drb,away trb,away AST,away STL,away BLK,Away TOV,away off rtg,away def rtg,Away Travel,Away Inactive,Away ELO,Home Pts For,Home pts allowed,Home Covers,Home Pace,Home TS,Home EFG,Home 3PAR,home ft rate,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home offRtg,Home def RTG,Home Travel,Home Inactive,Home ELO
Golden State Warriors,113,Charlotte Hornets,120,1,105,134,0,101,0.533,0.505,0.385,0.187,22.7,68.2,45.5,68.3,6.9,11.1,11.7,104,132.7,2295.618,3,1487.876605,112,124,0,101.6,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.9,6,11.2,110.2,122,463.081,3,1493.533286
Indiana Pacers,125,Brooklyn Nets,116,0,114.333,119,0.333,95.667,0.525,0.483,0.424,0.315,33.467,80,55.367,56.067,6.5,5.067,11.033,111.5,116.667,203.325,3,1483.192898,114,121.333,0.333,96.533,0.573,0.53,0.395,0.319,25.633,73.467,48.567,56.633,7.533,17,12.333,114.3,121.3,0,3,1451.483164
Philadelphia 76ers,114,Chicago Bulls,109,0,108.333,115.667,0.333,100.833,0.543,0.493,0.373,0.248,23.233,72.633,47.367,65.8,8.3,7.667,12.667,107.467,114.867,437.865,2,1484.713351,124,114.667,0.667,100.367,0.589,0.552,0.442,0.267,30.867,76.467,52.767,62.767,9.6,6.933,10.6,123.567,114.233,1049.608,4,1478.668751
Atlanta Hawks,115,Milwaukee Bucks,123,1,127,112.5,0.5,99.15,0.613,0.584,0.27,0.231,25.65,74.85,52.6,52.65,5.5,17.55,7.95,128.3,113.45,251.592,2,1508.595778,109.333,120,0.333,99.433,0.571,0.537,0.34,0.219,12.8,71.833,44.533,60.733,4.533,7.9,12.733,106.067,117.1,0,4,1535.990742
Oklahoma City Thunder,117,Dallas Mavericks,111,0,112.5,118.5,1,104.6,0.53,0.491,0.43,0.233,24.7,77.45,50.7,63.45,7.6,10.65,10.5,107.55,113.25,189.03,3,1494.15442,137,96,1,99.6,0.647,0.594,0.433,0.4,39.5,86,64.2,51.1,7,15.2,12.4,137.5,96.3,1371.81,3,1484.686497
Memphis Grizzlies,123,Utah Jazz,124,1,107,119.333,0.333,100.267,0.541,0.503,0.501,0.29,22.9,71.4,47.533,58.4,5.967,7.3,12.1,106.433,118.733,532.051,5,1511.003186,116,101.5,0.5,103,0.582,0.548,0.479,0.353,27.25,75.6,53.55,69,10.15,5.45,14.55,112.8,98.6,370.186,4,1518.569423
New Orleans Pelicans,112,Los Angeles Clippers,91,0,106,112.333,0,96.467,0.517,0.496,0.333,0.17,31.933,79.133,54.633,48.467,5.733,10.467,12.933,106.1,112.6,358.327,5,1512.704721,95,112,0,94.6,0.523,0.494,0.39,0.244,20,72.3,46.7,44.4,10.6,0,13.4,100.4,118.4,1180.024,3,1471.64577
Washington Wizards,94,Boston Celtics,112,1,110.5,112,0.5,97.95,0.564,0.54,0.33,0.217,21.45,71.25,49,54.05,6.8,12.25,14.8,107.5,109,393.613,2,1489.431964,124.5,124.5,0.5,97.35,0.654,0.613,0.415,0.366,15.7,82.25,49.2,59.45,8.25,5.15,13.05,121.85,121.55,0,4,1508.397122
New York Knicks,108,Cleveland Cavaliers,121,1,110,117,0.5,99.8,0.492,0.454,0.358,0.255,26.55,66.3,46.6,57.5,6.2,8.2,9.7,104.9,111.65,335.831,3,1492.890121,110,99.5,1,93.8,0.531,0.483,0.362,0.303,30.35,82.25,53.9,57.85,8.05,6.9,10.75,111.4,100.7,549.163,4,1530.029091
Golden State Warriors,114,Detroit Pistons,128,1,109,127,0,98.35,0.531,0.505,0.413,0.174,21.35,70.2,46.3,69.4,7.25,9.8,10.1,105.5,123.15,505.925,2,1477.123361,112.333,108,0.333,96.333,0.581,0.547,0.379,0.233,17.867,74.733,46.067,62.3,7.3,7.367,9.1,116.733,112.1,0,3,1461.656555
